city_slug,jurisdiction_name
borough_of_larksville,Borough Of Larksville
borough_of_leonia,Borough Of Leonia
borough_of_lindenwold,Borough Of Lindenwold
borough_of_lititz,Borough Of Lititz
borough_of_longport,Borough Of Longport
borough_of_mahanoy_city,Borough Of Mahanoy City
borough_of_manor,Borough Of Manor
borough_of_mantoloking,Borough Of Mantoloking
borough_of_masontown,Borough Of Masontown
borough_of_matamoras,Borough Of Matamoras
borough_of_matawan,Borough Of Matawan
borough_of_maywood,Borough Of Maywood
borough_of_mcdonald,Borough Of Mcdonald
borough_of_metuchen,Borough Of Metuchen
borough_of_middleburg,Borough Of Middleburg
borough_of_milford,Borough Of Milford
borough_of_millstone,Borough Of Millstone
borough_of_mohnton,Borough Of Mohnton
borough_of_monaca,Borough Of Monaca
borough_of_montgomery,Borough Of Montgomery
borough_of_morris_plains,Borough Of Morris Plains
borough_of_morton,Borough Of Morton
borough_of_mount_arlington,Borough Of Mount Arlington
borough_of_mount_holly_springs,Borough Of Mount Holly Springs
borough_of_mount_pocono,Borough Of Mount Pocono
borough_of_munhall,Borough Of Munhall
borough_of_narberth,Borough Of Narberth
borough_of_new_freedom,Borough Of New Freedom
borough_of_new_milford,Borough Of New Milford
borough_of_new_providence,Borough Of New Providence
borough_of_new_wilmington,Borough Of New Wilmington
borough_of_north_arlington,Borough Of North Arlington
borough_of_north_east,Borough Of North East
borough_of_norwood,Borough Of Norwood
borough_of_oakdale,Borough Of Oakdale
borough_of_oxford,Borough Of Oxford
borough_of_palmyra,Borough Of Palmyra
borough_of_park_ridge,Borough Of Park Ridge
borough_of_parkside,Borough Of Parkside
borough_of_paulsboro,Borough Of Paulsboro
borough_of_peapack_gladstone,Borough Of Peapack Gladstone
borough_of_penns_grove,Borough Of Penns Grove
borough_of_pine_grove,Borough Of Pine Grove
borough_of_port_allegany,Borough Of Port Allegany
borough_of_prospect,Borough Of Prospect
borough_of_prospect_park,Borough Of Prospect Park
borough_of_red_bank,Borough Of Red Bank
borough_of_red_hill,Borough Of Red Hill
borough_of_ringwood,Borough Of Ringwood
borough_of_rockleigh,Borough Of Rockleigh
borough_of_rosslyn_farms,Borough Of Rosslyn Farms
borough_of_schwenksville,Borough Of Schwenksville
borough_of_selinsgrove,Borough Of Selinsgrove
borough_of_sewickley,Borough Of Sewickley
borough_of_sharpsburg,Borough Of Sharpsburg
borough_of_ship_bottom,Borough Of Ship Bottom
borough_of_silverdale,Borough Of Silverdale
borough_of_south_river,Borough Of South River
borough_of_spring_lake,Borough Of Spring Lake
borough_of_springdale,Borough Of Springdale
borough_of_stanhope,Borough Of Stanhope
borough_of_state_college,Borough Of State College
borough_of_stone_harbor,Borough Of Stone Harbor
borough_of_surf_city,Borough Of Surf City
borough_of_sussex,Borough Of Sussex
borough_of_totowa,Borough Of Totowa
borough_of_trafford,Borough Of Trafford
borough_of_tyrone,Borough Of Tyrone
borough_of_vandergrift,Borough Of Vandergrift
borough_of_wanaque,Borough Of Wanaque
borough_of_waterford,Borough Of Waterford
borough_of_wesleyville,Borough Of Wesleyville
